date;time;total
2022-02-25;3:26:39;0
2022-02-25;5:28:16;0
2022-02-25;5:32:40;0
2022-02-25;5:37:05;0
2022-02-25;5:37:45;0
2022-02-25;5:44:18;1
2022-02-25;5:45:43;0
2022-02-25;5:46:22;0
2022-02-25;5:49:52;0
2022-02-25;5:51:02;1
2022-02-25;5:52:09;0
2022-02-25;5:52:59;0
2022-02-25;6:02:09;0
2022-02-25;6:02:50;0
2022-02-25;6:06:27;0
2022-02-25;6:15:46;0
2022-02-25;6:18:47;0
2022-02-25;6:20:35;0
2022-02-25;6:35:22;0
2022-02-25;6:50:22;0
2022-02-25;6:51:24;0
2022-02-25;11:34:09;0
2022-02-25;11:35:09;0
2022-02-25;11:36:07;0
2022-02-25;11:49:16;0
2022-02-25;15:38:56;0
2022-02-25;15:47:20;0
2022-02-25;15:48:00;0
2022-02-25;17:08:28;0
2022-02-25;17:30:56;0
2022-02-25;17:31:59;0
2022-02-25;17:32:38;0
2022-02-25;17:33:27;0
2022-02-25;18:08:47;0
2022-02-25;18:09:58;0
2022-02-25;18:11:56;0
2022-02-25;19:26:55;0
2022-02-25;19:32:56;0
2022-02-25;19:36:15;0
2022-02-25;19:38:00;0
2022-02-25;21:31:22;0
2022-02-25;21:32:03;0
2022-02-25;21:32:50;0
2022-02-25;21:34:24;0
2022-02-25;21:35:33;0
2022-02-25;21:36:47;0
2022-02-26;5:52:45;0
2022-02-26;5:54:07;0
2022-02-26;6:31:53;0
2022-02-26;6:33:10;0
2022-02-26;6:36:43;0
2022-02-26;6:44:05;0
2022-02-26;6:45:12;0
2022-02-26;6:45:56;0
2022-02-26;6:50:01;0
2022-02-26;6:53:47;0
2022-02-26;6:55:00;0
2022-02-26;6:56:02;0
2022-02-26;7:37:12;0
2022-02-26;7:41:20;0
2022-02-26;7:50:51;0
2022-02-26;7:53:50;1
2022-02-26;7:54:42;1
2022-02-26;7:55:27;0
2022-02-26;8:04:49;0
2022-02-26;8:05:37;0
2022-02-26;8:16:46;0
2022-02-26;8:17:40;0
2022-02-26;8:18:35;0
2022-02-26;8:20:54;0
2022-02-26;9:57:00;0
2022-02-26;9:57:52;0
2022-02-26;10:06:44;0
2022-02-26;11:18:25;0
2022-02-26;11:23:13;0
2022-02-26;11:24:35;0
2022-02-26;11:30:09;0
2022-02-26;11:30:58;0
2022-02-26;11:33:26;1
2022-02-26;11:35:49;0
2022-02-26;11:38:01;0
2022-02-26;11:38:54;0
2022-02-26;11:42:45;1
2022-02-26;11:43:35;0
2022-02-26;11:46:03;0
2022-02-26;11:47:02;0
2022-02-26;11:54:52;0
2022-02-26;11:55:43;0
2022-02-26;18:22:22;0
2022-02-26;18:23:02;0
2022-02-26;18:23:42;0
2022-02-26;18:24:44;0
2022-02-26;18:26:24;0
2022-02-26;18:28:29;0
2022-02-26;18:32:11;0
2022-02-26;18:32:51;0
2022-02-26;22:53:36;0
2022-02-26;22:54:16;0
2022-02-26;22:55:18;0
2022-02-26;22:56:09;0
2022-02-26;22:58:15;0
2022-02-26;23:00:40;0
2022-02-26;23:01:47;0
2022-02-26;23:02:58;0
2022-02-27;5:48:00;0
2022-02-27;5:49:19;0
2022-02-27;5:50:02;0
2022-02-27;6:52:22;0
2022-02-27;7:02:17;0
2022-02-27;7:35:17;0
2022-02-27;7:35:58;0
2022-02-27;7:50:29;0
2022-02-27;7:51:43;1
2022-02-27;7:52:20;1
2022-02-27;7:53:32;0
2022-02-27;7:54:25;0
2022-02-27;7:55:24;0
2022-02-27;8:08:19;0
2022-02-27;8:13:02;0
2022-02-27;8:13:45;0
2022-02-27;9:16:30;0
2022-02-27;9:23:54;0
2022-02-27;10:19:03;0
2022-02-27;11:04:09;0
2022-02-27;11:05:19;0
2022-02-27;13:30:42;0
2022-02-27;13:32:55;0
2022-02-27;13:35:52;0
2022-02-27;13:36:55;0
2022-02-27;13:44:22;0
2022-02-27;13:47:22;0
2022-02-27;13:48:01;0
2022-02-27;13:53:31;0
2022-02-27;13:54:37;0
2022-02-27;13:59:29;0
2022-02-27;14:19:43;0
2022-02-27;14:22:02;0
2022-02-27;14:30:57;0
2022-02-27;14:38:12;0
2022-02-27;14:46:48;0
2022-02-27;14:48:16;0
2022-02-27;15:06:04;0
2022-02-27;15:06:45;0
2022-02-27;17:54:47;0
2022-02-27;17:56:43;0
2022-02-27;17:57:25;0
2022-02-27;17:58:12;0
